 "BROOKLYN"	 "7302"	 "7186803320"	 "2015-11-05T00:00:00"
 "CURRY EXPRESS NY"	 "MANHATTAN"	 "10016"	 "Indian"
 "RED HOUSE ASIAN FUSION"	 "QUEENS"	 "11366"	 "Asian"
 "FUEL GRILL"	 "MANHATTAN"	 "10018"	 "American"
 "BLACKTHORN 51"	 "QUEENS"	 "11373"	 "American"
 "THE IZAKAYA"	 "MANHATTAN"	 "10003"	 "Japanese"
 "PETITE BLUE DOG CAFE"	 "MANHATTAN"	 "10019"	 "Caf̩/Coffee/Tea"
 "MASAWA"	 "MANHATTAN"	 "10027"	 "Ethiopian"
 "A.I.G.CHARTIS"	 "MANHATTAN"	 "10038"	 "American"
 "GRACE CAFE"	 "MANHATTAN"	 "10018"	 "American"
 "CATALDO'S RESTAURANT"	 "BROOKLYN"	 "11238"	 "Italian"
 "WA LUNG KITCHEN"	 "MANHATTAN"	 "10002"	 "Chinese"
 "MINT'S THAI KITCHEN"	 "QUEENS"	 "11375"	 "Thai"
 "DUNKIN' DONUTS"	 "BROOKLYN"	 "11220"	 "Donuts"
 "SPAIN RESTAURANT & BAR"	 "MANHATTAN"	 "10011"	 "Spanish"
 null	 "MANHATTAN"	 "10023"	 "Other"
 "EDGAR'S CAFE"	 "MANHATTAN"	 "10025"	 "Caf̩/Coffee/Tea"
 "LIPS RESTAURANT"	 "MANHATTAN"	 "10022"	 "American"
 "BIENVENIDOS AL CALLAO RESTAURANT"	 "QUEENS"	 "11368"	 "Latin (Cuban
 "DOMINO'S"	 "MANHATTAN"	 "10128"	 "Pizza"
 "CIBAO RESTAURANT"	 "QUEENS"	 "11368"	 "Latin (Cuban
 "BREWKLYN GRIND COFFEE"	 "BROOKLYN"	 "11205"	 "Caf̩/Coffee/Tea"
 "BECKETT'S"	 "MANHATTAN"	 "10004"	 "American"
 "TOKOYO EXPRESS"	 "QUEENS"	 "11365"	 "Japanese"
 "BLACKOUT LOUNGE"	 "QUEENS"	 "11354"	 "Bottled beverages
 "BIEROCRACY"	 "QUEENS"	 "11101"	 "American"
 "HAKATA TON TON"	 "MANHATTAN"	 "10014"	 "Japanese"
 "MANGIA FRESH KITCHEN"	 "STATEN ISLAND"	 "10312"	 "Italian"
 "RONG RESTAURANT"	 "QUEENS"	 "11354"	 "Asian"
 "MENU"	 "QUEENS"	 "11106"	 "American"
 "GREAT TASTE BAKERY"	 "MANHATTAN"	 "10038"	 "Bakery"
 "KINGSTON PIZZA"	 "BROOKLYN"	 "11225"	 "Jewish/Kosher"
 "YUBA"	 "MANHATTAN"	 "10003"	 "Japanese"
 "QUICK STOP DELI"	 "QUEENS"	 "11377"	 "Latin (Cuban
 "PONGSRI THAI RESTAURANT"	 "MANHATTAN"	 "10036"	 "Thai"
 "THE ARCH DINER"	 "BROOKLYN"	 "11234"	 "American"
 "HIGHWAY DELI & COFFEE SHOP"	 "QUEENS"	 "11365"	 "American"
 "FIAT CAFE"	 "MANHATTAN"	 "10012"	 "Italian"
 "QUANTUM LEAP"	 "MANHATTAN"	 "10012"	 "Vegetarian"
 "HENRI'S BACKYARD"	 "BROOKLYN"	 "11215"	 "American"
 "THINK COFFEE"	 "MANHATTAN"	 "10003"	 "Caf̩/Coffee/Tea"
 "DONA BELLA  PIZZA"	 "MANHATTAN"	 "10007"	 "Pizza"
 "MITZ (MELLOW YELLOW COFFEE & VIBES)"	 "MANHATTAN"	 "10128"	 "Jewish/Kosher"
 "3 GUYS SUSHI"	 "STATEN ISLAND"	 "10310"	 "Japanese"
 "MARTINIELLO'S IV PIZZERIA"	 "QUEENS"	 "11356"	 "Pizza"
 "TUMBAO"	 "MANHATTAN"	 "10036"	 "Latin (Cuban
 "ROCCA/CAFE-LOUNGE"	 "BROOKLYN"	 "11235"	 "Mediterranean"
 "CALI AJI CON SABOR RESTAURANT"	 "QUEENS"	 "11369"	 "Latin (Cuban
 "TABLE D'HOTE"	 "MANHATTAN"	 "10128"	 "American"
 "RATTLE N HUM WEST"	 "MANHATTAN"	 "10018"	 "American"
